parcela,arvore,comum,cientifico,familia,dap2014,medicao
T21,91,inga-xixica,Inga heterophylla,Fabaceae,38.3,20140324
T21,94,matamata branco,Eschweilera coriacea,Lecythidaceae,44.4,20140324
T21,97,caramuxi,Pouteria hispida,Sapotaceae,40.5,20140324
T21,98,seringarana,Micrandra minor,Euphorbiaceae,45.9,20140324
T21,102,breu barrote,Tetragastris panamensis,Burseraceae,36.8,20140324
T21,103,iperana,Eperua bijuga,Fabaceae,63.5,20140324
T21,104,jutai-pororoca,Dialium guianense,Fabaceae,45.5,20140324
T21,105,mato,NA,NA,36.3,20140324
T22,2,tachi preto,Tachigali myrmecophila,Fabaceae,59,20140320
T22,3,tachi preto,Tachigali myrmecophila,Fabaceae,53.2,20140320
T22,5,uxi,Endopleura uchi,Humiriaceae,43.6,20140320
T22,8,caramuxi,Pouteria hispida,Sapotaceae,36.3,20140320
T22,9,matamata branco,Eschweilera coriacea,Lecythidaceae,41.3,20140320
T22,11,louro,Ocotea canaliculata,Lauraceae,42.2,20140320
T22,19,tanibuca,Terminalia amazonia,Combretaceae,53.2,20140320
T22,22,breu barrote,Tetragastris panamensis,Burseraceae,45.7,20140320
T22,29,macaranduba,Manilkara huberi,Sapotaceae,80.3,20140320
T22,30,axixa,Sterculia pruriens,Malvaceae,48.8,20140320
T22,31,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,51,20140320
T22,32,breu barrote,Tetragastris panamensis,Burseraceae,41.9,20140320
T22,33,taperebarana,Spondias sp.,Anacardiaceae,38.1,20140320
T22,36,itauba,Mezilaurus itauba,Lauraceae,92.5,20140320
T22,39,matamata preto,Eschweilera ovata,Lecythidaceae,81,20140320
T22,44,uxirana,Sacoglottis guianensis,Humiriaceae,58,20140320
T22,45,joao-mole,Neea oppositifolia,Nyctaginaceae,35.7,20140320
T22,48,guajara cinza,Pouteria sp.,Sapotaceae,44.9,20140320
T22,49,matamata branco,Eschweilera coriacea,Lecythidaceae,54,20140320
T22,50,iperana,Eperua bijuga,Fabaceae,39.6,20140320
T22,52,louro cunauaru,Endlicheria sp.,Lauraceae,61.1,20140320
T22,53,seringueira,Hevea brasiliensis,Euphorbiaceae,37.2,20140320
T22,55,preciosa,Aniba canelilla,Lauraceae,42.8,20140320
T22,56,angelim vermelho,Dinizia excelsa,Fabaceae,128,20140320
T22,61,jatereu,Lecythis idatimon,Lecythidaceae,42.4,20140320
T22,62,morta,NA,NA,70.5,20140320
T22,63,pintadinho,Poeppigia procera,Fabaceae,44.4,20140320
T22,64,breu barrote,Tetragastris panamensis,Burseraceae,40.2,20140320
T22,66,tachirana,Stryphnodendron paniculatum,Fabaceae,36.9,20140320
T22,67,tachi preto,Tachigali myrmecophila,Fabaceae,55.8,20140320
T22,72,breu barrote,Tetragastris panamensis,Burseraceae,47.7,20140320
T22,77,envira preta,Guatteria schomburgkiana,Annonaceae,40.1,20140320
T22,84,breu barrote,Tetragastris panamensis,Burseraceae,40.7,20140320
T22,89,angelim rajado,Zygia racemosa,Fabaceae,42.5,20140320
T22,95,anani,Symphonia globulifera,Clusiaceae,42.6,20140320
T22,97,breu barrote,Tetragastris panamensis,Burseraceae,41.5,20140320
T22,98,abiu canelado,Micropholis crassipedicellata,Sapotaceae,54.1,20140320
T22,99,abiurana branca,Pouteria guianensis,Sapotaceae,36.2,20140320
T22,100,macaranduba,Manilkara huberi,Sapotaceae,62.3,20140320
T22,101,pau-jacare,Laetia procera,Salicaceae,51,20140320
