ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,FILA,FILA,NUMARVORECONTROLE,NUMARVORECONTROLE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,10,10,23.95,24.15,0,0,19.7,20.1,0.351384772,0.368004238,19.99463927,SEED,22
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,4,4,12,12,28.6,30.6,17.3,19.7,17.3,19.7,0.447791655,0.561100705,19.99463927,SEED,23
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,4,4,12,12,30.6,31.75,19.7,20.2,19.7,20.2,0.561100705,0.612336715,19.99463927,SEED,23
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,6,6,1,1,18.35,19.8,0,0,16.3,18.7,0.185950752,0.235764241,19.99463927,SEED,24
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,6,6,1,1,19.8,20.1,0,0,18.7,19.1,0.235764241,0.2523415,19.99463927,SEED,24
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,6,6,3,3,26.2,27.3,17.1,19,17.1,19,0.376355433,0.43969077,19.99463927,SEED,25
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,6,6,3,3,27.3,27.75,19,20.2,19,20.2,0.43969077,0.477859538,19.99463927,SEED,25
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,6,6,6,6,26,26.85,18.9,19.5,18.9,19.5,0.398416642,0.4340143,19.99463927,SEED,26
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,6,6,6,6,26.85,27.15,19.5,20.2,19.5,20.2,0.4340143,0.459006653,19.99463927,SEED,26
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,6,6,9,9,22.4,23.9,16.5,19.6,16.5,19.6,0.272916075,0.348860711,19.99463927,SEED,27
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,6,6,9,9,23.9,24.45,19.6,21.1,19.6,21.1,0.348860711,0.392027252,19.99463927,SEED,27
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,6,6,11,11,21.95,22.55,0,0,17.2,19.4,0.27043635,0.309914809,19.99463927,SEED,28
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,6,6,11,11,22.55,23.5,0,0,19.4,19.9,0.309914809,0.348089433,19.99463927,SEED,28
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,1,1,22.55,23.8,0,0,17.3,19.7,0.285968523,0.346822195,19.99463927,SEED,29
MT,MTV,2005,SEED,001A,2019,2020,599,4494,599-4494,1080,1080,13.4,14.5,7,7,1,1,23.8,25.3,0,18.9,19.7,18.9,0.346822195,0.382015676,19.99463927,SEED,29
MT,MTV,2005,SEED,001A,2018,2019,599,4494,599-4494,1080,1080,12.8,13.4,7,7,5,5,20.05,21.2,0,0,16.8,19.1,0.223977477,0.272298272,19.99463927,SEED,30
