ESTADO,CODPROJETO,ANO,CLONESEMENTE,CODTALHAO,ANOREF,ANOREF,CHATALHAO,NUMPARCELA,CHAVE,AREA,AREA,I1,I2,NUMARVORE,NUMARVORE,DAP1,DAP2,ALT1,ALT2,ALTEST1,ALTEST2,VCCI,VCCI2,S,CLONESEMENTE,indice
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,22,22,10.1,13.7,NULL,NULL,9.5,11.6,0.036,0.077,19.99,SEED,33
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,23,23,3.9,7.2,4,NULL,4,6.3,0.004,0.014,19.99,SEED,34
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,23,23,7.2,9.1,NULL,NULL,6.3,9.1,0.014,0.029,19.99,SEED,34
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,23,23,9.1,11.4,NULL,NULL,9.1,11,0.029,0.054,19.99,SEED,34
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,23,23,19.7,21.3,14.2,14.9,14.2,14.9,0.186,0.224,19.99,SEED,35
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,23,23,21.3,22.5,14.9,15.8,14.9,15.8,0.224,0.262,19.99,SEED,35
MT,MTV,2005,SEED,001A,2015,2016,599,4494,599-4494,1256.6,1256.6,9.6,10.6,23,23,22.5,23.1,15.8,16.1,15.8,16.1,0.262,0.275,19.99,SEED,35
MT,MTV,2005,SEED,001A,2016,2017,599,4494,599-4494,1256.6,1256.6,10.6,11.8,23,23,23.1,23.5,16.1,17,16.1,17,0.275,0.304,19.99,SEED,35
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,24,24,2.7,7.1,NULL,NULL,2.3,6.2,0.002,0.014,19.99,SEED,36
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,24,24,7.1,10.6,NULL,9.8,6.2,9.8,0.014,0.04,19.99,SEED,36
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,24,24,10.6,14.5,9.8,13,9.8,13,0.04,0.096,19.99,SEED,36
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,24,24,14.5,16.2,13,14.3,13,14.3,0.096,0.128,19.99,SEED,36
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,24,24,16.2,18.4,14.3,15,14.3,15,0.128,0.166,19.99,SEED,36
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,25,25,3.7,8.3,NULL,NULL,3.1,6.7,0.003,0.019,19.99,SEED,37
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,25,25,8.3,10.4,NULL,10.1,6.7,10.1,0.019,0.04,19.99,SEED,37
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,25,25,10.4,13.2,10.1,NULL,10.1,11.5,0.04,0.072,19.99,SEED,37
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,25,25,13.2,15,NULL,NULL,11.5,12.8,0.072,0.1,19.99,SEED,37
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,25,25,15,17.6,NULL,14.7,12.8,14.7,0.1,0.151,19.99,SEED,37
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,25,25,17.9,19.2,14.5,15,14.5,15,0.158,0.186,19.99,SEED,38
MT,MTV,2005,SEED,001A,2014,2015,599,4494,599-4494,1256.6,1256.6,8.9,9.6,25,25,19.2,20,15,16.3,15,16.3,0.186,0.218,19.99,SEED,38
MT,MTV,2005,SEED,001A,2007,2008,599,4494,599-4494,359.7,359.7,1.6,2.6,26,26,3.6,7.8,3.2,7,3.2,7,0.003,0.018,19.99,SEED,39
MT,MTV,2005,SEED,001A,2008,2009,599,4494,599-4494,359.7,359.7,2.6,3.6,26,26,7.8,10.9,7,10.2,7,10.2,0.018,0.044,19.99,SEED,39
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,26,26,10.9,14.5,10.2,12.2,10.2,12.2,0.044,0.089,19.99,SEED,39
MT,MTV,2005,SEED,001A,2010,2011,599,4494,599-4494,359.7,359.7,4.6,5.7,26,26,14.5,16,12.2,13.4,12.2,13.4,0.089,0.116,19.99,SEED,39
MT,MTV,2005,SEED,001A,2011,2012,599,4494,599-4494,359.7,359.7,5.7,6.7,26,26,16,17.4,13.4,NULL,13.4,14,0.116,0.142,19.99,SEED,39
MT,MTV,2005,SEED,001A,2009,2010,599,4494,599-4494,359.7,359.7,3.6,4.6,27,27,4.3,6.4,NULL,NULL,5.7,8.7,0.005,0.017,19.99,SEED,40
MT,MTV,2005,SEED,001A,2013,2014,599,4494,599-4494,1256.6,1256.6,7.8,8.9,27,27,16.5,17.6,14.5,15.3,14.5,15.3,0.136,0.161,19.99,SEED,41
