parcela,comum,cientifico,familia,dap,hc,ht,vertical,luminosidade
T22,abiu canelado,Micropholis crassipedicellata,Sapotaceae,53.2,32.12,40.39,C,2
T22,abiurana branca,Pouteria guianensis,Sapotaceae,36.2,33.6,42.81,C,2
T22,macaranduba,Manilkara huberi,Sapotaceae,62.2,30.52,39.78,C,2
T22,pau-jacare,Laetia procera,Salicaceae,50.7,42.14,52.74,E,1
T22,capueiro,Rinorea guianensis,Violaceae,17.7,19.61,24.81,S,2
T22,abiurana,Pouteria gongrijpii,Sapotaceae,18,18.53,25.61,S,2
T22,abiurana,Pouteria gongrijpii,Sapotaceae,10.4,7.82,11.61,S,2
T22,mato,NA,NA,21.1,20.37,28.08,S,2
T22,breu branco,Protium paniculatum,Burseraceae,10.9,5.79,9.99,S,3
T22,iperana,Eperua bijuga,Fabaceae,17.6,22.17,33.62,S,2
T22,mato,NA,NA,29.5,23.12,36.63,S,2
T22,freijo branco,Cordia scabrifolia,Boraginaceae,16.3,14.23,19.49,S,2
T22,inga amarelo,Inga sp.,Fabaceae,21.2,12.79,18.01,S,2
T22,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,11.7,3.43,4.61,S,2
T22,cucutitiriba,Pouteria sp.,Sapotaceae,10.2,3.6,4.78,S,2
T22,morta,NA,NA,22,NA,2.9,NA,NA
T22,breu barrote,Tetragastris panamensis,Burseraceae,19.3,7.66,11.28,S,2
T22,matamata branco,Eschweilera coriacea,Lecythidaceae,11,7.05,11.41,S,2
T22,iperana,Eperua bijuga,Fabaceae,27.7,15.92,21.27,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,22.6,6.84,16.24,S,2
T22,capueiro,Rinorea guianensis,Violaceae,19.2,8.39,13.88,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,19.8,9.52,17.44,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,22.1,10.72,16.89,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,27,15.33,22.98,S,1
T22,breu barrote,Tetragastris panamensis,Burseraceae,10.3,5.35,8.62,S,2
T22,capueiro,Rinorea guianensis,Violaceae,17,14.79,20.88,S,2
T22,capueiro,Rinorea guianensis,Violaceae,23.5,14.2,24.19,S,1
T22,andirobarana,Guarea guidonia,Meliaceae,14.5,11.95,17.26,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,13.7,9.77,16.28,S,2
T22,iperana,Eperua bijuga,Fabaceae,11.8,4.09,6.17,S,2
T22,iperana,Eperua bijuga,Fabaceae,19.8,7.42,14.4,S,2
T22,joao-mole,Neea oppositifolia,Nyctaginaceae,34.9,7.72,13.33,S,2
T22,envira,Xylopia sp.,Annonaceae,20,8.56,17.15,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,29.6,12.64,20.23,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,24.4,13.6,21.87,S,1
T22,capueiro,Rinorea guianensis,Violaceae,12.6,7.44,15.87,S,2
T22,inhare,Helicostylis sp.,Moraceae,14.6,8.24,12.34,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,10,7.62,12.35,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,30.2,9.66,19.16,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,17.4,16.83,27.8,S,2
T22,burangica,Galipea trifoliata,Rutaceae,10.7,5.26,10.03,S,2
T22,morta,NA,NA,20.5,NA,3.93,NA,NA
T22,capueiro,Rinorea guianensis,Violaceae,12.5,3.58,4.8,S,2
T22,axixa,Sterculia pruriens,Malvaceae,15.9,12.42,18.5,S,2
T22,capueiro,Rinorea guianensis,Violaceae,12.3,10.66,16.33,S,2
T22,abiurana branca,Pouteria guianensis,Sapotaceae,13.6,4.67,6.64,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,16.4,9,14.65,S,2
T22,breu de leite,Thyrsodium spruceanum,Anacardiaceae,11.2,4.52,9.3,S,2
T22,muiratinga,Maquira coriacea,Moraceae,14.1,7.07,12.43,S,2
T22,inga,Inga marginata,Fabaceae,30.3,8.61,17.18,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,10.5,8.06,12.16,S,2
T22,pau santo,Zollernia paraensis,Fabaceae,10.8,7.15,12.4,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,16.5,10.41,13.35,S,2
T22,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,11.8,6.74,9.32,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,12.2,4.26,7.67,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,12.7,6.37,10.8,S,2
T22,guariuba,Clarisia racemosa,Moraceae,10.7,6.23,8.76,S,2
T22,cucutitiriba,Pouteria sp.,Sapotaceae,25.5,13.88,16.9,S,2
T22,mato,NA,NA,14.2,27.57,38.06,S,2
T22,seringueira,Hevea brasiliensis,Euphorbiaceae,17.4,15.17,20.78,S,2
T22,capueiro,Rinorea guianensis,Violaceae,10.1,9.47,16.21,S,2
T22,fava amarela,Parkia sp.,Fabaceae,12.9,11.79,15.11,S,2
T22,matamata branco,Eschweilera coriacea,Lecythidaceae,22.6,18.44,28.8,S,2
T22,capueiro,Rinorea guianensis,Violaceae,15.5,18.01,22.86,C,2
T22,capueiro,Rinorea guianensis,Violaceae,17.7,19.61,24.81,S,2
T22,abiurana,Pouteria gongrijpii,Sapotaceae,18,18.53,25.61,S,2
T22,abiurana,Pouteria gongrijpii,Sapotaceae,10.4,7.82,11.61,S,2
T22,mato,NA,NA,21.1,20.37,28.08,S,2
T22,breu branco,Protium paniculatum,Burseraceae,10.9,5.79,9.99,S,3
T22,iperana,Eperua bijuga,Fabaceae,17.6,22.17,33.62,S,2
T22,mato,NA,NA,29.5,23.12,36.63,S,2
T22,freijo branco,Cordia scabrifolia,Boraginaceae,16.3,14.23,19.49,S,2
T22,inga amarelo,Inga sp.,Fabaceae,21.2,12.79,18.01,S,2
T22,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,11.7,3.43,4.61,S,2
T22,cucutitiriba,Pouteria sp.,Sapotaceae,10.2,3.6,4.78,S,2
T22,morta,NA,NA,22,NA,2.9,NA,NA
T22,breu barrote,Tetragastris panamensis,Burseraceae,19.3,7.66,11.28,S,2
T22,matamata branco,Eschweilera coriacea,Lecythidaceae,11,7.05,11.41,S,2
T22,iperana,Eperua bijuga,Fabaceae,27.7,15.92,21.27,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,22.6,6.84,16.24,S,2
T22,capueiro,Rinorea guianensis,Violaceae,19.2,8.39,13.88,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,19.8,9.52,17.44,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,22.1,10.72,16.89,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,27,15.33,22.98,S,1
T22,breu barrote,Tetragastris panamensis,Burseraceae,10.3,5.35,8.62,S,2
T22,capueiro,Rinorea guianensis,Violaceae,17,14.79,20.88,S,2
T22,capueiro,Rinorea guianensis,Violaceae,23.5,14.2,24.19,S,1
T22,andirobarana,Guarea guidonia,Meliaceae,14.5,11.95,17.26,S,2
T22,matamata preto,Eschweilera ovata,Lecythidaceae,13.7,9.77,16.28,S,2
T22,iperana,Eperua bijuga,Fabaceae,11.8,4.09,6.17,S,2
T22,iperana,Eperua bijuga,Fabaceae,19.8,7.42,14.4,S,2
T22,joao-mole,Neea oppositifolia,Nyctaginaceae,34.9,7.72,13.33,S,2
T22,envira,Xylopia sp.,Annonaceae,20,8.56,17.15,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,29.6,12.64,20.23,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,24.4,13.6,21.87,S,1
T22,capueiro,Rinorea guianensis,Violaceae,12.6,7.44,15.87,S,2
T22,inhare,Helicostylis sp.,Moraceae,14.6,8.24,12.34,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,10,7.62,12.35,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,30.2,9.66,19.16,S,2
T22,jatereu,Lecythis idatimon,Lecythidaceae,17.4,16.83,27.8,S,2
T22,burangica,Galipea trifoliata,Rutaceae,10.7,5.26,10.03,S,2
T22,morta,NA,NA,20.5,NA,3.93,NA,NA
T22,capueiro,Rinorea guianensis,Violaceae,12.5,3.58,4.8,S,2
T22,axixa,Sterculia pruriens,Malvaceae,15.9,12.42,18.5,S,2
T22,capueiro,Rinorea guianensis,Violaceae,12.3,10.66,16.33,S,2
T22,abiurana branca,Pouteria guianensis,Sapotaceae,13.6,4.67,6.64,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,16.4,9,14.65,S,2
T22,breu de leite,Thyrsodium spruceanum,Anacardiaceae,11.2,4.52,9.3,S,2
T22,muiratinga,Maquira coriacea,Moraceae,14.1,7.07,12.43,S,2
T22,inga,Inga marginata,Fabaceae,30.3,8.61,17.18,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,10.5,8.06,12.16,S,2
T22,pau santo,Zollernia paraensis,Fabaceae,10.8,7.15,12.4,S,2
T22,breu barrote,Tetragastris panamensis,Burseraceae,16.5,10.41,13.35,S,2
