base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Tapajos_A01_2015_2016,caripe,Licania octandra,Chrysobalanaceae,FALSE,EXPLORADAS,,19.4,,,1,19.7,14.22,,,,,15,c015,,726254.826,9682935.17
Tapajos_A01_2015_2016,macaranduba,Manilkara huberi,Sapotaceae,FALSE,EXPLORADAS,,46.5,,,1,30.54,18.89,,,,,45,c045,Shade-tolerant,726269.1179,9682945.272
Tapajos_A01_2015_2016,gema de ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,EXPLORADAS,,12.2,,,1,17.55,13.16,,,,,15,c015,,726258.97,9682937.472
Tapajos_A01_2015_2016,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,EXPLORADAS,,18.6,,,1,19.7,12.75,,,,,15,c015,Shade-tolerant,726273.3624,9682944.407
Tapajos_A01_2015_2016,joao mole,Neea oppositifolia,Nyctaginaceae,FALSE,EXPLORADAS,,23.3,,,1,,,,,,,25,c025,Shade-tolerant,726257.0895,9682939.849
Tapajos_A01_2015_2016,quaruba,Vochysia guianensis,Vochysiaceae,FALSE,EXPLORADAS,,16,,,1,17.68,14.01,,,,,15,c015,,726271.0707,9682948.252
Tapajos_A01_2015_2016,ucuuba,Virola michelii,Myristicaceae,FALSE,EXPLORADAS,,11.2,,,1,,,,,,,15,c015,,726255.5583,9682938.564
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,11.6,,,1,12.36,5.56,,,,,15,c015,,726265.4898,9682944.278
Tapajos_A01_2015_2016,joao mole,Neea oppositifolia,Nyctaginaceae,FALSE,EXPLORADAS,,21.1,,,1,,,,,,,25,c025,Shade-tolerant,726254.1035,9682937.084
Tapajos_A01_2015_2016,quarubarana,Erisma uncinatum,Vochysiaceae,FALSE,EXPLORADAS,,92,,,1,45.02,31.98,,,,,95,c095,,726238.4406,9682940.683
Tapajos_A01_2015_2016,fava mapuxiqui,Albizia pedicellaris,Fabaceae,FALSE,EXPLORADAS,,73.3,,,1,39.58,23.14,,,,,75,c075,,726264.5575,9682947.485
Tapajos_A01_2015_2016,cupiuba,Goupia glabra,Goupiaceae,FALSE,EXPLORADAS,,45.5,,,1,24.19,15.8,,,,,45,c045,,726242.3592,9682943.798
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,14,,,1,,,,,,,15,c015,,726247.5397,9682946.34
Tapajos_A01_2015_2016,cumaru,Dipteryx odorata,Fabaceae,FALSE,EXPLORADAS,,12.4,,,1,,,,,,,15,c015,Emergent,726265.6612,9682952.36
Tapajos_A01_2015_2016,matamata jiboia,Eschweilera sp,Lecythidaceae,FALSE,EXPLORADAS,,58,,,1,38.71,27.49,,,,,55,c055,,726238.0421,9682941.679
Tapajos_A01_2015_2016,breu branco,Protium paniculatum,Burseraceae,FALSE,EXPLORADAS,,21,,,1,,,,,,,25,c025,,726268.1962,9682951.414
Tapajos_A01_2015_2016,gema de ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,EXPLORADAS,,13,,,1,,,,,,,15,c015,,726235.6511,9682947.66
Tapajos_A01_2015_2016,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,EXPLORADAS,,67,,,1,32.26,16.69,,,,,65,c065,,726269.1777,9682953.817
Tapajos_A01_2015_2016,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,EXPLORADAS,,26,,,1,,,,,,,25,c025,,726238.4705,9682951.06
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,12.7,,,1,,,,,,,15,c015,,726267.8603,9682954.735
Tapajos_A01_2015_2016,caferana,Quiina florida,Ochnaceae,FALSE,EXPLORADAS,,12.8,,,1,,,,,,,15,c015,,726237.1177,9682951.844
Tapajos_A01_2015_2016,joao mole,Neea oppositifolia,Nyctaginaceae,FALSE,EXPLORADAS,,15.6,,,1,,,,,,,15,c015,Shade-tolerant,726267.7063,9682955.185
Tapajos_A01_2015_2016,breu folha grande,Protium robustum,Burseraceae,FALSE,EXPLORADAS,,11.8,,,1,,,,,,,15,c015,,726240.9331,9682952.753
