base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
ALL,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,FALSE,,25.9,25.7,0,3,,,,,,,ALL,ALL,ALL,721916.7946,9627209.278
ALL,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,16.6,17.8,0.4,3,,,,,,,ALL,ALL,ALL,721944.7753,9627209.645
ALL,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,12,26.3,4.77,3,,,,,,,ALL,ALL,ALL,721948.1432,9627212.37
ALL,envira-cunauaru,Annona ambotay,Annonaceae,FALSE,FALSE,,15,15.1,0.03,3,,,,,,,ALL,ALL,ALL,721910.2994,9627211.682
ALL,embauba,Cecropia ficifolia,Urticaceae,FALSE,FALSE,,14.1,16.5,0.8,3,,,,,,,ALL,ALL,ALL,721950.6915,9627219.643
ALL,ucuuba,Virola michelii,Myristicaceae,FALSE,FALSE,,12.2,13.9,0.57,3,,,,,,,ALL,ALL,ALL,721913.5012,9627213.591
ALL,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,12.7,12.8,0.03,3,,,,,,,ALL,ALL,ALL,721951.6612,9627207.37
ALL,inga-de-rosca,Abarema mataybifolia,Fabaceae,FALSE,TRUE,,20.8,,,3,,,,,,,ALL,ALL,ALL,721919.9975,9627214.182
ALL,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,10.4,13.2,0.93,3,,,,,,,ALL,ALL,ALL,721951.6049,9627206.348
ALL,angelim rajado,Zygia racemosa,Fabaceae,FALSE,FALSE,,15.4,15.9,0.17,3,,,,,,,ALL,ALL,ALL,721918.9072,9627215.133
ALL,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,15.1,18.7,1.2,3,,,,,,,ALL,ALL,ALL,721951.5486,9627205.325
ALL,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,19.4,19.9,0.17,3,,,,,,,ALL,ALL,ALL,721919.9899,9627216.229
ALL,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,21.4,17.7,0,3,,,,,,,ALL,ALL,ALL,721946.7871,9627206.549
ALL,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,20,10.8,0,3,,,,,,,ALL,ALL,ALL,721921.076,9627218.267
ALL,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,15,18.6,1.2,3,,,,,,,ALL,ALL,ALL,721945.6713,9627205.589
ALL,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,FALSE,FALSE,,10.4,10.8,0.13,3,,,,,,,ALL,ALL,ALL,721918.8885,9627218.286
ALL,fava-arara-tucupi,Parkia multijuga,Fabaceae,FALSE,FALSE,,15,18.6,1.2,3,,,,,,,ALL,ALL,ALL,721941.2858,9627202.803
ALL,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,11.6,10.6,0,3,,,,,,,ALL,ALL,ALL,721916.7001,9627218.397
ALL,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,11.5,12.9,0.47,3,,,,,,,ALL,ALL,ALL,721942.2701,9627200.754
ALL,louro-pimenta,Ocotea canaliculata,Lauraceae,FALSE,FALSE,,21,19.9,0,3,,,,,,,ALL,ALL,ALL,721918.8688,9627221.624
