"","parcela","arv","comum.nome","cientifico.nome","familia.nome","dap.2012","tipo","vert.2012","Luz.2012","Hcom.2012","Htot.2012","dap.2014","UTM.leste","UTM.norte"
"64","T01",113,"seringarana","Micrandra minor","Euphorbiaceae",46.9,"O","C",1,26.22,35.57,47.8,778240.4135,9586851.569
"65","T01",115,"matamata","Eschweilera amazonica","Lecythidaceae",28.1,"O","S",2,15.94,27.44,23.9,778250.4955,9586855.376
"66","T01",116,"pintadinho","Poeppigia procera","Fabaceae",39.1,"O","S",2,18.02,25.88,39.9,778255.6424,9586856.662
"67","T01",117,"tanibuca","Terminalia amazonia","Combretaceae",35.4,"O","S",2,12.66,18.18,35.4,778255.9053,9586852.77
"68","T01",118,"macucu","Licania guianensis","Chrysobalanaceae",10.9,"O","S",2,10.47,15.11,11.4,778258.1504,9586856.731
"69","T01",119,"tachi preto","Tachigali myrmecophila","Fabaceae",60,"O","E",1,36.15,52.5,83,778264.1535,9586857.136
"70","T01",120,"parajuba","Manilkara bidentata","Sapotaceae",52.8,"O","C",2,16,24.43,53.7,778293.8573,9586856.336
"71","T01",123,"timborana","Pseudopiptadenia suaveolens","Fabaceae",48.4,"O","C",1,10.41,17.87,48.6,778337.4469,9586858.279
"72","T01",126,"uxirana","Sacoglottis guianensis","Humiriaceae",27.8,"O","C",1,12.36,19.61,27.8,778354.2528,9586862.429
"73","T01",129,"jutai","Hymenaea parvifolia","Fabaceae",59.6,"O","E",1,21.08,32.62,59.6,778361.3243,9586861.896
"74","T01",131,"matamata","Eschweilera amazonica","Lecythidaceae",22.4,"O","S",2,15.18,22.21,22.9,778368.2599,9586863.375
"75","T01",135,"ucurana","Sloanea guianensis","Elaeocarpaceae",10.3,"O","S",2,6.6,9.31,10.7,778387.7367,9586865.184
"76","T01",136,"parajuba","Manilkara bidentata","Sapotaceae",36.6,"O","C",2,9.17,14.62,37.8,778396.775,9586865.293
"77","T01",138,"morta",NA,NA,36.6,"O",NA,NA,NA,2.51,36.6,778403.7382,9586866.365
"78","T01",142,"jatereu","Lecythis idatimon","Lecythidaceae",36.3,"O","C",2,13.53,26.12,37,778424.2756,9586867.352
"79","T01",143,"casca seca","Licania canescens","Chrysobalanaceae",14.9,"O","S",3,8.67,12.41,14,778430.7856,9586867.691
"80","T01",144,"jatereu","Lecythis idatimon","Lecythidaceae",27.7,"O","C",1,13.47,20.58,27.7,778430.7918,9586867.599
"81","T01",145,"guajara branco","Pouteria sp.","Sapotaceae",53.2,"O","E",1,20.28,30.71,53.5,778433.8613,9586866.796
"82","T01",147,"mato",NA,NA,22.5,"O","S",2,10.71,16.74,23.2,778448.7679,9586869.307
"83","T01",148,"matamata","Eschweilera parviflora","Lecythidaceae",11,"O","E",2,7.04,10.59,11.6,778457.8056,9586869.424
"84","T01",150,"morta",NA,NA,71.2,"O",NA,NA,NA,9.42,NA,778459.7465,9586870.449
"85","T01",152,"tauari","Couratari stellata","Lecythidaceae",40,"O","C",1,23.32,29.83,41,778441.0903,9586878.811
"86","T01",153,"tatapiririca","Tapirira guianensis","Anacardiaceae",35.4,"O","S",2,23.63,30.6,36.9,778435.5875,9586878.439
"87","T01",154,"matamata","Eschweilera amazonica","Lecythidaceae",38,"O","C",1,17.19,28.91,39,778436.8815,9586859.283
"88","T01",156,"copaiba","Copaifera reticulata","Fabaceae",50.6,"O","E",1,27.61,38,51.5,778421.0569,9586862.925
"89","T01",157,"timborana","Pseudopiptadenia suaveolens","Fabaceae",50,"O","E",1,26.35,45.89,51.5,778412.3839,9586857.408
"90","T01",159,"axixa","Sterculia pruriens","Malvaceae",55,"O","E",1,26.06,34.79,58.3,778352.8535,9586853.386
"91","T01",160,"matamata branco","Eschweilera coriacea","Lecythidaceae",56,"O","C",1,19.9,32.65,56.2,778337.7164,9586854.288
"92","T01",161,"parajuba","Manilkara bidentata","Sapotaceae",39,"O","E",1,15.89,27.95,39.6,778325.6324,9586869.508
"93","T01",162,"breu barrote","Tetragastris panamensis","Burseraceae",41,"O","S",2,17.42,30.84,41.2,778277.4836,9586853.226
"94","T01",163,"timborana","Pseudopiptadenia suaveolens","Fabaceae",40,"O","E",1,28.26,39.02,40.3,778274.539,9586867.059
"95","T01",164,"abiurana","Pouteria gongrijpii","Sapotaceae",49.6,"O","E",1,19.03,31.46,49.9,778268.8106,9586847.709
