base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Cauaxi_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,56,56.2,0.1,2,32.65,19.9,,,C,1,55,c055,Shade-tolerant,778337.7164,9586854.288
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,39,39.6,0.3,2,27.95,15.89,,,E,1,35,c035,,778325.6324,9586869.508
Cauaxi_PA,breu barrote,Tetragastris panamensis,Burseraceae,FALSE,FALSE,,41,41.2,0.1,2,30.84,17.42,,,S,2,45,c045,Intermediate,778277.4836,9586853.226
Cauaxi_PA,timborana,Pseudopiptadenia suaveolens,Fabaceae,FALSE,FALSE,,40,40.3,0.15,2,39.02,28.26,,,E,1,45,c045,Intermediate,778274.539,9586867.059
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,49.6,49.9,0.15,2,31.46,19.03,,,E,1,45,c045,,778268.8106,9586847.709
Cauaxi_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,44.5,45.1,0.3,2,24.42,17.22,,,E,1,45,c045,,778262.6782,9586849.219
Cauaxi_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,FALSE,,50,50.5,0.25,2,37.42,26.53,,,E,1,55,c055,,778234.6295,9586845.9
Cauaxi_PA,matamata,Eschweilera parviflora,Lecythidaceae,FALSE,FALSE,,55,56.5,0.75,2,28.16,19.2,,,C,1,55,c055,,778231.452,9586862.904
Cauaxi_PA,uxirana,Sacoglottis guianensis,Humiriaceae,FALSE,TRUE,,42.7,,,2,36.1,23.65,,,C,1,45,c045,,778200.6045,9586844.438
Cauaxi_PA,seringarana,Micrandra minor,Euphorbiaceae,FALSE,FALSE,,38,39,0.5,2,31.97,23.16,,,C,2,35,c035,,778192.0436,9586844.771
Cauaxi_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,35.5,35.6,0.05,2,26.08,19.01,,,C,2,35,c035,,778185.2387,9586846.244
Cauaxi_PA,louro preto,Nectandra cuspidata,Lauraceae,FALSE,FALSE,,49.8,51.4,0.8,2,37.04,22.11,,,C,1,45,c045,Intermediate,778156.9642,9586858.038
Cauaxi_PA,sucupira tento,Ormosia nobilis,Fabaceae,FALSE,FALSE,,52.1,60.1,4,2,31.48,19.53,,,C,1,55,c055,,778143.915,9586854.643
Cauaxi_PA,inhare,Helicostylis sp,Moraceae,FALSE,FALSE,,35.3,35.4,0.05,2,19.2,13.26,,,C,1,35,c035,,778132.812,9586855.478
Cauaxi_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,35.3,36.6,0.65,2,18.11,9.93,,,C,1,35,c035,,778124.6644,9586855.54
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,48.5,49.7,0.6,2,26.54,15.04,,,C,1,45,c045,,778101.2936,9586850.126
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,46.4,46.9,0.25,2,20.39,13.95,,,E,1,45,c045,,778066.2493,9586846.412
Cauaxi_PA,cajuacu,Anacardium spruceanum,Anacardiaceae,FALSE,FALSE,,93.9,94.9,0.5,2,42.56,30.83,,,E,1,95,c095,,778060.7323,9586848.764
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,37,37,0,2,23.73,15.09,,,C,2,35,c035,,778052.253,9586842.917
Cauaxi_PA,tachi preto,Tachigali myrmecophila,Fabaceae,FALSE,TRUE,,50.5,,,2,37.25,26.23,,,E,1,55,c055,,778038.414,9586842.456
Cauaxi_PA,louro preto,Nectandra cuspidata,Lauraceae,FALSE,FALSE,,41.3,41.2,0,2,24.36,14.75,,,S,2,45,c045,Intermediate,778014.4741,9586828.857
Cauaxi_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,39.1,39.9,0.4,2,28.87,18.51,,,C,1,35,c035,Shade-tolerant,778013.3147,9586839.796
Cauaxi_PA,muirapiranga,Brosimum rubescens,Moraceae,FALSE,FALSE,,56,55.9,0,2,37.88,24.8,,,E,1,55,c055,,777991.6907,9586822.42
Cauaxi_PA,matamata vermelho,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,43.5,44.1,0.3,2,30.86,22.66,,,C,2,45,c045,Shade-tolerant,777984.0138,9586840.633
Cauaxi_PA,matamata branco,Eschweilera coriacea,Lecythidaceae,FALSE,FALSE,,36.8,40.4,1.8,2,41.8,24.16,,,C,2,35,c035,Shade-tolerant,777981.6403,9586822.361
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,54,54.1,0.05,2,46.18,25.23,,,C,2,55,c055,Shade-tolerant,777978.7989,9586822.06
Cauaxi_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,24.5,24.6,0.05,2,22.99,13.18,,,S,2,25,c025,,779061.2644,9585320.211
Cauaxi_PA,casca seca,Licania canescens,Chrysobalanaceae,FALSE,FALSE,,72.5,73.2,0.35,2,33.58,19.63,,,C,1,75,c075,,779061.2755,9585326.528
Cauaxi_PA,timborana,Pseudopiptadenia suaveolens,Fabaceae,FALSE,FALSE,,10.3,11,0.35,2,9.34,4.77,,,S,2,15,c015,Intermediate,779050.0429,9585320.864
Cauaxi_PA,inga,Inga marginata,Fabaceae,FALSE,FALSE,,10.6,10.6,0,2,10.59,6.4,,,S,2,15,c015,,779046.3378,9585321.547
Cauaxi_PA,jatereu,Lecythis idatimon,Lecythidaceae,FALSE,FALSE,,15.5,16,0.25,2,16.03,10.01,,,S,2,15,c015,Shade-tolerant,779035.6054,9585322.456
Cauaxi_PA,maracatiara,Astronium graveolens,Anacardiaceae,FALSE,FALSE,,23.9,24,0.05,2,15.84,14.6,,,C,1,25,c025,,779021.5975,9585323.522
Cauaxi_PA,parajuba,Manilkara bidentata,Sapotaceae,FALSE,FALSE,,26.4,26.8,0.2,2,18.86,12.72,,,C,1,25,c025,,779014.1266,9585324.09
Cauaxi_PA,inga,Inga marginata,Fabaceae,FALSE,FALSE,,14.4,15.3,0.45,2,10.57,4.8,,,S,2,15,c015,,779013.1927,9585324.161
Cauaxi_PA,louro,Ocotea canaliculata,Lauraceae,FALSE,FALSE,,12.5,12.4,0,2,14.23,8.54,,,S,2,15,c015,,778967.3583,9585326.653
Cauaxi_PA,breu branco,Protium paniculatum,Burseraceae,FALSE,FALSE,,44.5,46.3,0.9,2,18.86,10.18,,,S,2,45,c045,,778959.3328,9585332.278
Cauaxi_PA,tento,Ormosia grossa,Fabaceae,FALSE,FALSE,,50,50.1,0.05,2,34.88,20.71,,,S,1,55,c055,,778953.1869,9585331.743
