base,nomePopular,nomeCient,familia,deadAno1,deadAno2,ingresso,dap1,dap2,ida,intervaloMed,ht1,hcom1,ht2,hcom2,posSocio,luminosidade,classeDiam,classeDiam2,grupoEco,utmLeste,UTMNorte
Anambe_PA,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,19.4,19.9,0.17,3,,,,,,,15,c015,Shade-tolerant,721919.9899,9627216.229
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,21.4,17.7,0,3,,,,,,,25,c025,,721946.7871,9627206.549
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,20,10.8,0,3,,,,,,,25,c025,,721921.076,9627218.267
Anambe_PA,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,15,18.6,1.2,3,,,,,,,15,c015,,721945.6713,9627205.589
Anambe_PA,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,FALSE,FALSE,,10.4,10.8,0.13,3,,,,,,,15,c015,,721918.8885,9627218.286
Anambe_PA,fava-arara-tucupi,Parkia multijuga,Fabaceae,FALSE,FALSE,,15,18.6,1.2,3,,,,,,,15,c015,,721941.2858,9627202.803
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,11.6,10.6,0,3,,,,,,,15,c015,,721916.7001,9627218.397
Anambe_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,11.5,12.9,0.47,3,,,,,,,15,c015,Pioneer,721942.2701,9627200.754
Anambe_PA,louro-pimenta,Ocotea canaliculata,Lauraceae,FALSE,FALSE,,21,19.9,0,3,,,,,,,25,c025,,721918.8688,9627221.624
Anambe_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,15.8,15.8,0,3,,,,,,,15,c015,Pioneer,721947.4148,9627197.402
Anambe_PA,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,FALSE,FALSE,,10.6,11.1,0.17,3,,,,,,,15,c015,,721915.5657,9627221.619
Anambe_PA,parapara,Jacaranda copaia,Bignoniaceae,FALSE,FALSE,,13.2,13.9,0.23,3,,,,,,,15,c015,Pioneer,721949.5195,9627197.257
Anambe_PA,freijo branco,Cordia scabrifolia,Boraginaceae,FALSE,FALSE,,27.7,27.8,0.03,3,,,,,,,25,c025,,721914.4783,9627220.702
Anambe_PA,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,12.1,14.9,0.93,3,,,,,,,15,c015,,721952.3551,9627196.958
Anambe_PA,capueiro,Rinorea guianensis,Violaceae,FALSE,FALSE,,10.4,11.2,0.27,3,,,,,,,15,c015,,721913.4106,9627218.88
Anambe_PA,ucuuba terra-firme,Virola sebifera,Myristicaceae,FALSE,FALSE,,25.4,25.7,0.1,3,,,,,,,25,c025,,721952.3955,9627195.821
Anambe_PA,murta,Strychnos subcordata,Loganiaceae,FALSE,FALSE,,10.2,10.3,0.03,3,,,,,,,15,c015,,721912.3509,9627217.07
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,12.8,13.5,0.23,3,,,,,,,15,c015,,721950.406,9627194.122
Anambe_PA,angelim rajado,Zygia racemosa,Fabaceae,FALSE,FALSE,,14.4,15,0.2,3,,,,,,,15,c015,,721910.0824,9627220.707
Anambe_PA,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,23.6,26.3,0.9,3,,,,,,,25,c025,,721946.2255,9627194.551
Anambe_PA,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,FALSE,,19,20.2,0.4,3,,,,,,,15,c015,,721909.0403,9627218.55
Anambe_PA,embauba branca,Cecropia palmata,Urticaceae,FALSE,FALSE,,15.3,10.1,0,3,,,,,,,15,c015,,721946.5395,9627194.527
Anambe_PA,goiabao,Pradosia cochlearia,Sapotaceae,FALSE,FALSE,,21.2,19.3,0,3,,,,,,,25,c025,,721903.4343,9627222.128
Anambe_PA,acoita-cavalo,Luehea speciosa,Malvaceae,FALSE,FALSE,,17.9,18.5,0.2,3,,,,,,,15,c015,Intermediate,721942.8764,9627189.702
Anambe_PA,matamata preto,Eschweilera ovata,Lecythidaceae,FALSE,FALSE,,15,14.5,0,3,,,,,,,15,c015,,721903.4411,9627221.952
Anambe_PA,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,FALSE,,33.5,33.8,0.1,3,,,,,,,35,c035,Shade-tolerant,721951.1944,9627189.433
Anambe_PA,tauari,Couratari stellata,Lecythidaceae,FALSE,TRUE,,15.2,,,3,,,,,,,15,c015,,721901.355,9627219.225
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,37.4,37.7,0.1,3,,,,,,,35,c035,,721949.5029,9627187.029
Anambe_PA,muirapixuna,Chamaecrista scleroxylon,Fabaceae,FALSE,TRUE,,11,,,3,,,,,,,15,c015,,721903.6171,9627217.356
Anambe_PA,cucutitiriba,Pouteria sp,Sapotaceae,FALSE,FALSE,,19.9,20.7,0.27,3,,,,,,,15,c015,Shade-tolerant,721948.0828,9627189.721
Anambe_PA,envira preta,Guatteria schomburgkiana,Annonaceae,FALSE,FALSE,,29,28.5,0,3,,,,,,,25,c025,Shade-tolerant,721903.6916,9627215.412
Anambe_PA,acoita-cavalo,Luehea speciosa,Malvaceae,FALSE,FALSE,,11.1,12.3,0.4,3,,,,,,,15,c015,Intermediate,721946.8882,9627186.581
Anambe_PA,quinarana,Geissospermum sericeum,Apocynaceae,FALSE,FALSE,,18.6,18.5,0,3,,,,,,,15,c015,,721901.518,9627215.452
Anambe_PA,cajuacu,Anacardium spruceanum,Anacardiaceae,FALSE,FALSE,,14.2,16.2,0.67,3,,,,,,,15,c015,,721945.8433,9627186.385
Anambe_PA,joao-mole,Neea oppositifolia,Nyctaginaceae,FALSE,TRUE,,11.6,,,3,,,,,,,15,c015,Shade-tolerant,721902.8201,9627210.148
Anambe_PA,abiurana,Pouteria gongrijpii,Sapotaceae,FALSE,FALSE,,11,11,0,3,,,,,,,15,c015,,721902.9026,9627208.122
