parcela,arvore,comum,cientifico,familia,dap2012,cc2012,hcom,ht,vertical,luminosidade,medicao,dap2014,cc2014
T01,138,morta,NA,NA,36.6,37.5,NA,2.51,NA,NA,20120127,36.6,37.5
T01,142,jatereu,Lecythis idatimon,Lecythidaceae,36.3,37.5,13.53,26.12,C,2,20120127,37,37.5
T01,143,casca seca,Licania canescens,Chrysobalanaceae,14.9,12.5,8.67,12.41,S,3,20120127,14,12.5
T01,144,jatereu,Lecythis idatimon,Lecythidaceae,27.7,27.5,13.47,20.58,C,1,20120127,27.7,27.5
T01,145,guajara branco,Pouteria sp.,Sapotaceae,53.2,52.5,20.28,30.71,E,1,20120127,53.5,52.5
T01,147,mato,NA,NA,22.5,22.5,10.71,16.74,S,2,20120127,23.2,22.5
T01,148,matamata,Eschweilera parviflora,Lecythidaceae,11,12.5,7.04,10.59,E,2,20120127,11.6,12.5
T01,150,morta,NA,NA,71.2,72.5,NA,9.42,NA,NA,20120127,#N/A,#N/A
T01,152,tauari,Couratari stellata,Lecythidaceae,40,42.5,23.32,29.83,C,1,20120127,41,42.5
T01,153,tatapiririca,Tapirira guianensis,Anacardiaceae,35.4,37.5,23.63,30.6,S,2,20120127,36.9,37.5
T01,154,matamata,Eschweilera amazonica,Lecythidaceae,38,37.5,17.19,28.91,C,1,20120127,39,37.5
T01,156,copaiba,Copaifera reticulata,Fabaceae,50.6,52.5,27.61,38,E,1,20120127,51.5,52.5
T01,157,timborana,Pseudopiptadenia suaveolens,Fabaceae,50,52.5,26.35,45.89,E,1,20120127,51.5,52.5
T01,159,axixa,Sterculia pruriens,Malvaceae,55,57.5,26.06,34.79,E,1,20120127,58.3,57.5
T01,160,matamata branco,Eschweilera coriacea,Lecythidaceae,56,57.5,19.9,32.65,C,1,20120127,56.2,57.5
T01,161,parajuba,Manilkara bidentata,Sapotaceae,39,37.5,15.89,27.95,E,1,20120127,39.6,37.5
T01,162,breu barrote,Tetragastris panamensis,Burseraceae,41,42.5,17.42,30.84,S,2,20120127,41.2,42.5
T01,163,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,42.5,28.26,39.02,E,1,20120127,40.3,42.5
T01,164,abiurana,Pouteria gongrijpii,Sapotaceae,49.6,47.5,19.03,31.46,E,1,20120127,49.9,47.5
T01,165,matamata preto,Eschweilera ovata,Lecythidaceae,44.5,42.5,17.22,24.42,E,1,20120127,45.1,47.5
T01,167,tauari,Couratari stellata,Lecythidaceae,50,52.5,26.53,37.42,E,1,20120127,50.5,52.5
T01,168,matamata,Eschweilera parviflora,Lecythidaceae,55,57.5,19.2,28.16,C,1,20120127,56.5,57.5
T01,169,uxirana,Sacoglottis guianensis,Humiriaceae,42.7,42.5,23.65,36.1,C,1,20120127,#N/A,#N/A
T01,170,seringarana,Micrandra minor,Euphorbiaceae,38,37.5,23.16,31.97,C,2,20120127,39,37.5
T01,171,matamata preto,Eschweilera ovata,Lecythidaceae,35.5,37.5,19.01,26.08,C,2,20120127,35.6,37.5
T01,172,louro preto,Nectandra cuspidata,Lauraceae,49.8,47.5,22.11,37.04,C,1,20120127,51.4,52.5
T01,173,sucupira tento,Ormosia nobilis,Fabaceae,52.1,52.5,19.53,31.48,C,1,20120127,60.1,62.5
