parcela,arv,comum,cientifico,familia,dap.2013,Hcom.2013,Htot.2013,UTM_Easting,UTM_Northing
T03,76,BARROTE,Tetragastris altissima,Burseraceae,38.9,16.44,24.98,220664.8936,9633654.25
T03,77,CUTITIRIBA,Pouteria sp.,Sapotaceae,44.3,21.4,29.08,220659.8996,9633649.355
T03,78,JATEREU,Lecythis idatimon,Lecythidaceae,16.4,9.83,12.61,220650.5256,9633654.7
T03,79,MACUCU,Licania heteromorpha,Chrysobalanaceae,44.5,18.55,25.26,220638.7026,9633644.962
T03,80,BARROTE,Tetragastris altissima,Burseraceae,41,17.63,26.07,220636.4417,9633648.179
T03,81,MORTA,NA,NA,27.3,NA,0.8,220688.1649,9633676.581
T03,82,MATAMATA,Eschweilera parviflora,Lecythidaceae,43.6,16.1,25.82,220691.3826,9633670.478
T03,83,MORTA,NA,NA,24,NA,12.6,220721.7319,9633694.393
T04,1,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,41.2,15.5,27.14,220822.9324,9633486.617
T04,2,EMBAUBA,Cecropia ficifolia,Urticaceae,24.4,13.23,26.84,220820.2306,9633485.313
T04,3,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,10,10.36,12.85,220813.0257,9633481.836
T04,4,CANELA DE ANTA,NI,NI,15.8,7.93,10.8,220810.3239,9633480.532
T04,5,EMBAUBA,Cecropia ficifolia,Urticaceae,29.3,17.76,25.76,220810.3673,9633480.442
T04,6,ENVIRA PRETA,Bocageopsis pleiosperma,Annonaceae,19.1,4.69,8.67,220804.1065,9633477.309
T04,7,IPERANA,Eperua bijuga,Fabaceae,41.6,11.49,29.91,220791.5059,9633478.112
T04,8,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,40.4,16.62,35.28,220745.4445,9633456.217
T04,9,PARAPARA,Jacaranda copaia,Bignoniaceae,54.7,19.88,32.81,220774.8604,9633471.19
T04,10,ENVIRA CANA,Xylopia nitida,Annonaceae,46.7,18.05,24.53,220769.0223,9633469.483
T04,11,INGA,Inga marginata,Fabaceae,12.6,13.86,18.99,220762.9392,9633456.776
T04,12,UXIRANA,Sacoglottis guianensis,Humiriaceae,13.6,5.75,9.93,220756.548,9633453.914
T04,13,CUPIUBA,Goupia glabra,Goupiaceae,20.3,13.53,19.85,220752.1445,9633452.455
T04,14,UXIRANA,Sacoglottis guianensis,Humiriaceae,12,13.29,17.26,220751.1878,9633451.216
T04,15,FAVA ARARA,Parkia multijuga,Fabaceae,53,13.4,24.68,220746.0093,9633455.046
T04,16,CUPIUBA,Goupia glabra,Goupiaceae,35.4,14.76,28.26,220742.3436,9633448.835
T04,17,FAVA ARARA,Parkia multijuga,Fabaceae,47,24.73,35,220729.7035,9633440.515
T04,18,FAVA ARARA,Parkia multijuga,Fabaceae,62,24.73,35,220728.8029,9633440.08
T04,19,FAVA ARARA,Parkia multijuga,Fabaceae,38.1,22.89,31.15,220707.6978,9633430.894
T04,20,FAVA ARARA,Parkia multijuga,Fabaceae,40.4,22.89,31.15,220707.6978,9633430.894
T04,21,TATAPIRIRICA,Tapirira guianensis,Anacardiaceae,20.6,17.71,23.22,220698.7352,9633426.458
T04,22,INGA,Inga marginata,Fabaceae,18.4,17,24.07,220690.7166,9633422.366
T04,23,UCUUBA,Virola melinoni,Myristicaceae,46.1,14.11,19.82,220688.8719,9633421.587
T04,24,BREU BRANCO,Protium paniculatum,Burseraceae,13.8,7.21,12.31,220688.8285,9633421.677
T04,25,TAMAQUARE,Caraipa grandifolia,Clusiaceae,21.5,17.23,22.48,220668.2013,9633411.5
T04,26,FAVA ARARA,Parkia multijuga,Fabaceae,57.6,13.85,20.51,220660.8226,9633408.383
T04,27,UXIRANA,Sacoglottis guianensis,Humiriaceae,29.6,16.65,26.04,220661.2571,9633407.483
T04,28,ANANI,Symphonia globulifera,Clusiaceae,13.7,13.44,17.75,220659.3256,9633406.884
T04,29,MATA MATA BRANCO,Eschweilera coriacea,Lecythidaceae,22.7,17.38,24.49,220654.5523,9633404.58
T04,30,IPERANA,Eperua bijuga,Fabaceae,39.4,20.04,25.88,220645.9631,9633404.065
T04,31,MORTA,NA,NA,54,NA,12.71,220646.2343,9633399.601
T04,32,JATEREU,Lecythis idatimon,Lecythidaceae,14.3,5.5,11.05,220606.3634,9633376.659
T04,33,MORTA,NA,NA,24.7,NA,4.27,220605.5843,9633376.209
T04,34,CAQUI PRETO,Diospyros guianensis,Ebenaceae,17.7,11.85,18.19,220594.194,9633369.737
T04,35,ABIURANA,Pouteria gongrijpii,Sapotaceae,49,10.2,19.39,220588.4493,9633367.686
T04,36,CARAMUXI,Pouteria hispida,Sapotaceae,43.2,12.84,21.77,220587.4334,9633367.445
T04,37,IPERANA,Eperua bijuga,Fabaceae,37.3,9.63,17.64,220576.3445,9633362.649
T04,38,IPERANA,Eperua bijuga,Fabaceae,49,7.45,23.29,220568.2146,9633363.724
T04,39,ARATACIU,Sagotia racemosa,Euphorbiaceae,25.5,8.26,13.04,220542.7862,9633340.643
T04,40,IPERANA,Eperua bijuga,Fabaceae,44.6,8.95,17.19,220531.8952,9633343.67
T04,41,CUMARU,Dipteryx odorata,Fabaceae,33,13.99,21.07,220532.025,9633335.297
T04,42,PARICARANA,Dimorphandra macrostachya,Fabaceae,35.4,13.8,24.21,220523.5172,9633340.205
T04,43,JARANA,Lecythis lurida,Lecythidaceae,22.7,10.53,14.61,220524.04,9633331.136
T04,44,MORTA,NA,NA,25.7,NA,4.96,220510.8463,9633323.996
T04,45,MUIRATINGA,Brosimum rubescens ,Moraceae,10.9,7.77,10.69,220497.8491,9633316.509
T04,46,MUTUTI,Pterocarpus sp.,Fabaceae,50,17.52,28.58,220479.1444,9633316.495
T04,47,CASCA SECA,Licania canescens,Chrysobalanaceae,21,10.95,15.29,220478.5704,9633305.91
T04,48,INGA,Inga marginata,Fabaceae,37.7,7.89,22.06,220467.261,9633303.572
