,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
11,91.249382,91.581421,91.949402,92.365837,92.886391,93.47319,94.161682,94.952423,95.839569,96.821541,97.865952,99.009743,99.897011,100.54409,100.995934,101.351707,101.624916,101.867813,102.057587,102.224968,102.419662,102.811951,103.107788,103.599998,103.497269,103.587624,103.541382,103.582748,103.644394,103.714996,103.854996,104.43,104.095573,103.993721,104.021675,104.059517,104.10675,104.097534,104.099678,104.0896,104.167633,104.620003,104.099091,103.889496,103.70359,103.541618,103.346809,103.074173,102.846603,102.790291,102.639999,102.028458,101.389999,101.720001,100.780556,99.879997,99.639999,99.216988,98.742775,98.302025,97.971077,97.760925,97.668335,97.389336,97.167252,97.083366,97.036224,96.963356,97.07679,97.319366,97.661934,98.111984,98.671272,99.333427,100.113144,100.989075,102.370003,102.540001,102.260902,102.253159,102.349655,102.517006,102.816315,103.06321,103.275223,103.444496,103.573227,103.696472,103.866035,104.142189,104.489342,104.85334,104.890953,104.81488
12,91.080002,91.540436,91.954887,92.339989,92.813354,93.446556,94.17514,95.015839,95.964333,96.982941,98.133217,99.212074,100.104843,100.589996,100.966049,101.240601,101.502029,101.705986,101.841583,101.961655,102.157791,102.386223,102.737343,103.009216,103.165009,103.210556,103.322243,103.330727,103.490005,103.440002,103.660004,103.851936,103.909653,103.92942,103.821426,103.887009,103.927498,103.866669,103.805,103.874931,103.981522,103.925987,103.942001,103.742027,103.582809,103.369698,103.142044,102.823837,102.526199,102.308235,102.128105,101.673706,101.184998,101.089996,100.460327,100.065651,99.575989,98.990524,98.430794,97.896004,97.425316,97.366982,96.793266,96.549492,96.347488,96.337051,96.369118,96.472275,96.680786,96.985794,97.386185,97.884438,98.489594,99.206268,99.96418,100.922295,101.642586,101.951401,102.08564,102.14164,102.261047,102.497566,102.706726,102.927856,103.131714,103.270828,103.346748,103.400574,103.517387,103.812607,104.136833,104.360054,104.404091,104.357292
13,91.129997,91.51416,91.82962,92.220894,92.686729,93.285767,94.066498,94.952545,95.929764,97.05806,98.095123,99.128357,100.485001,100.65667,100.889999,101.100151,101.404289,101.584175,101.640617,101.760666,101.916328,102.196533,102.329315,102.604942,102.809326,102.988304,103.022453,103.194382,103.26503,103.744995,103.552734,103.686607,103.711586,103.722893,103.758926,103.676506,103.736046,103.860001,103.739784,103.725006,103.839996,103.864906,103.705482,103.682503,103.486427,103.275215,102.97686,102.596741,102.234451,101.951721,101.654022,101.398575,100.984818,100.580002,100.112946,99.820152,99.378006,98.700768,98.082695,97.46331,96.911156,96.447128,95.984772,95.561668,95.601456,95.735718,95.910164,96.08223,96.355492,96.706512,97.1511,97.703346,98.385376,99.14212,100.066193,100.695213,101.242134,101.7724,101.952202,102.075668,102.242188,102.372124,102.549393,102.804962,103.027489,103.118385,103.106522,103.095619,103.156647,103.353096,104.169998,104.300003,103.861717,103.980003
14,91.370003,91.406265,91.63504,92.015198,92.536369,93.146957,93.897522,94.81633,95.888481,96.873093,97.827583,98.903656,99.77478,100.216667,100.449997,100.867302,101.57,101.382828,101.438492,101.548218,101.7192,101.917168,102.057648,102.220619,102.456551,102.684387,102.834175,102.866272,103.131874,103.21711,103.459991,103.604065,103.612747,103.569992,103.521301,103.559303,103.489922,103.559196,103.572525,103.604553,103.709663,103.773331,103.889999,103.611755,103.660004,103.081779,102.765816,102.381477,102.008492,101.664398,101.344658,100.989876,100.68351,100.218185,99.784904,99.295364,98.927994,98.403969,97.782272,97.168747,96.512474,95.877762,94.459999,94.908829,94.889999,95.324944,95.617752,95.803436,96.086647,96.470016,96.949059,97.560768,98.29644,99.265251,99.968117,100.509521,101.084122,102.129997,101.790611,101.996605,102.145714,102.151344,102.333221,102.720001,102.980003,102.93,102.782898,102.724297,102.658051,102.792763,103.212936,103.322128,103.350769,103.288162
15,90.990005,91.151909,91.433975,91.852509,92.393936,93.077644,93.833199,94.786087,95.739159,96.661858,97.707329,98.550133,99.308296,99.778648,100.169823,100.610214,100.970764,101.170692,101.236511,101.387161,101.562996,101.756584,101.90789,102.052307,102.175591,102.424271,102.641113,102.838959,102.891792,103.182205,103.239235,103.690002,103.476036,103.377106,103.312698,103.288078,103.32106,103.253471,103.342781,103.446526,103.611832,103.970001,103.813332,103.474365,103.174347,102.94931,102.616425,102.193901,101.816505,101.543594,101.196548,100.760391,100.321808,100.018951,99.536163,99.151741,98.780426,98.157478,97.532616,96.888924,96.322899,95.673592,95.135796,94.285004,94.669998,95.062538,95.360703,95.589859,95.874352,96.259583,96.784538,97.415741,98.315315,99.184959,99.910606,100.368309,100.737946,101.083061,101.425446,102.290001,101.789993,101.857285,102.047073,102.425003,102.498573,102.514,102.455002,102.489998,102.250305,102.184944,102.413734,102.573364,102.66288,102.646271
16,90.461754,90.831963,91.256821,91.723854,92.308083,92.999557,93.898582,94.694321,95.506073,96.537239,97.416679,98.245956,99.008698,99.525879,100.002098,100.356705,100.889999,100.907921,101.088936,101.23848,101.442802,101.67823,101.77269,101.897873,102.009758,102.123672,102.377823,102.647827,102.914536,102.998543,103.167015,103.193977,103.162155,103.114662,103.022209,102.96611,102.951027,103.021729,102.940765,103.379997,103.5,103.403145,103.425758,103.283722,103.136238,102.853638,102.543991,101.979797,101.558075,101.442741,101.006889,100.5811,100.11335,99.730476,99.283531,99.118729,98.711578,97.931267,97.249046,96.660088,96.126617,95.996819,95.039436,94.726685,94.604652,94.867867,95.219109,95.413284,95.697617,96.110023,96.636536,97.415985,98.114342,98.94706,100.379997,100.1577,100.256966,100.551208,100.838654,101.254738,101.308525,101.470009,101.980003,101.779999,102.199997,102.055,102.029999,102.007233,101.832115,101.670395,101.821457,102.053642,101.983482,102.050552
17,90.229088,90.606873,91.067406,91.622665,92.237175,93.042542,93.783592,94.546272,95.411682,96.207657,97.106133,98.003723,98.760025,99.331558,99.752495,100.182487,100.527458,100.710373,100.888367,101.119614,101.317886,101.584824,101.723808,101.822014,101.928665,102.058655,102.148376,102.486961,103.199997,102.998055,102.932442,103.160004,102.868034,102.722565,102.662689,102.587456,102.560905,102.527817,102.723541,102.797119,102.893707,102.886665,103.214996,103.220001,103.029999,102.641243,102.231339,101.69915,101.228111,100.860794,100.505424,100.083565,99.690483,99.304405,98.970413,98.702789,98.249573,97.603584,96.948692,96.37265,95.899269,95.221916,94.480003,94.195,94.365005,94.674438,95.016342,95.174934,95.47113,95.879044,96.517738,97.050049,97.621948,98.46714,99.46698,100.260002,99.848991,100.115379,100.192688,100.597664,100.681091,101.024971,101.650002,101.669998,101.630005,101.566795,101.537445,101.474884,101.2882,101.370003,101.291801,101.367691,101.480469,101.379616
18,90.135406,90.462326,90.91391,91.491623,92.264771,92.936531,93.614258,94.417503,95.168518,95.927277,96.771896,97.75769,98.778244,99.240906,99.721321,100.110001,100.339165,100.509445,100.764107,100.98233,101.1987,101.364487,101.561218,101.704391,101.780457,101.838959,101.936569,102.173637,102.527878,102.779999,102.849998,102.722321,102.589172,102.380379,102.203163,102.162872,102.086845,102.235619,102.285507,102.470741,102.49646,102.587746,102.949997,102.817352,102.834999,102.580002,101.993851,101.413414,100.881584,100.477249,100.113464,99.758263,99.419334,99.078003,98.669327,98.286308,98.020531,97.29776,96.728661,96.239731,95.701309,95.159813,94.330002,93.82,93.576668,94.93,94.712639,94.948151,95.270966,95.809456,96.234756,96.663223,97.243507,97.812569,98.611176,98.983406,99.279373,99.396736,99.616287,99.919655,100.120445,100.414879,100.806931,101.002701,101.060631,101.078796,101.000465,100.820885,100.753838,100.849609,100.861748,100.81852,100.751091,100.73246
19,89.979095,90.318848,90.774971,91.458015,92.095123,92.742111,93.470734,94.14225,94.847847,95.62249,96.452896,97.435547,98.466553,99.480003,99.5,99.918602,100.040001,100.414177,100.682243,100.913116,101.074539,101.252335,101.416397,101.558838,101.631325,101.684196,101.808754,101.859451,102.141609,102.589996,102.524994,102.435226,102.2201,101.981224,101.747307,101.533096,101.684273,101.758049,101.834206,101.958473,102.162758,102.146721,102.178566,102.286179,102.243378,102.066765,101.778091,101.070641,100.541908,100.182106,99.784431,99.50724,99.192642,98.896286,98.433121,98.071449,97.611511,97.01696,96.518005,96.033188,95.600189,95.18943,94.583313,94.105087,94.029999,94.184998,94.497383,94.741577,95.215927,95.573364,95.91835,96.357834,96.762497,97.240417,97.803535,98.374756,98.546974,98.86058,99.081062,99.529793,99.606583,99.829285,100.258095,100.394653,100.720001,100.533569,100.352913,100.369789,100.209282,100.340378,100.314011,100.271301,100.026627,99.909912
20,89.773933,90.133095,90.742928,91.292435,91.865082,92.553261,93.198273,93.847488,94.540649,95.293785,96.14328,97.066933,98.258842,98.886314,99.650002,99.839996,100.184998,100.305,100.769997,100.79113,100.98719,101.19429,101.288467,101.346458,101.436264,101.54763,101.532173,101.600533,101.770958,101.925087,102.019814,102.339996,101.921165,101.647278,101.397003,101.358498,101.323746,101.44516,101.557663,101.767517,101.905525,101.958122,101.873665,101.759506,101.708,101.583252,101.307632,100.673248,100.20507,99.867836,99.545738,99.191467,98.969154,98.73204,98.220032,97.793953,97.255035,96.764664,96.273315,95.845978,95.481651,95.135803,94.610329,94.152023,93.669998,93.961723,94.294456,94.7006,95.002365,95.299706,95.65712,95.979897,96.340324,96.768051,97.441628,97.748833,98.022842,98.357338,98.58773,99.025291,99.069473,99.260468,99.740005,99.779999,99.922554,99.864151,99.843948,99.82122,99.64827,99.72628,99.700386,99.511795,99.36129,99.263023
