parcela,arvore,comum,cientifico,familia,dap2012,vertical,luminosidade,hcom,ht,medicao
T02,77,macucu,Licania guianensis,Chrysobalanaceae,36.7,C,1,6.48,11.14,20120209
T02,79,abiu cutite,NA,NA,47.2,S,2,14.51,21.53,20120209
T02,84,fava-core,Parkia nitida,Fabaceae,88.3,E,1,12.43,23.56,20120209
T02,87,abiurana,Pouteria gongrijpii,Sapotaceae,46,C,1,20.4,30.42,20120209
T02,90,coquirana,Chrysophyllum sanguinolentum,Sapotaceae,42,C,1,21.12,31.48,20120209
T02,92,casca seca,Licania canescens,Chrysobalanaceae,36.8,C,2,22.14,39.35,20120209
T02,94,guajara branco,Pouteria sp.,Sapotaceae,50.2,S,2,13.32,19.84,20120209
T02,98,cupiuba,Goupia glabra,Goupiaceae,63.8,E,1,16.61,24.42,20120209
T02,102,sucupira,Diplotropis sp.,Fabaceae,51.4,E,1,25.18,30.97,20120209
T02,110,abiu cutite,NA,NA,58.7,E,1,18.14,27.99,20120209
T02,113,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,65,E,1,29.07,39.82,20120209
T02,116,macucu,Licania guianensis,Chrysobalanaceae,37,C,1,13.66,23,20120209
T02,117,morta,NA,NA,41.3,NA,NA,NA,31.44,20120209
T02,120,pintadinho,Poeppigia procera,Fabaceae,37.7,C,2,22.25,25.64,20120209
T02,122,casca seca,Licania canescens,Chrysobalanaceae,38,S,2,11.44,17.6,20120209
T02,125,freijo branco,Cordia scabrifolia,Boraginaceae,40.5,C,2,16.86,26.3,20120209
T02,127,morta,NA,NA,40.8,NA,NA,NA,18.74,20120209
T02,128,matamata,Eschweilera amazonica,Lecythidaceae,45,S,2,20.1,27.84,20120209
T02,130,matamata vermelho,Eschweilera coriacea,Lecythidaceae,56.8,C,1,22.68,38.02,20120209
T02,136,tachi preto,Tachigali myrmecophila,Fabaceae,43.2,E,1,25.72,31.88,20120209
T02,137,joao-mole,Neea oppositifolia,Nyctaginaceae,52,E,1,29.19,36.96,20120209
T02,143,louro vermelho,Sextonia rubra,Lauraceae,79.4,E,1,33.52,43.94,20120209
T02,151,araracanga,Aspidosperma spruceanum,Apocynaceae,54.5,C,2,26.78,37.79,20120209
T02,152,embauba,Cecropia ficifolia,Urticaceae,41,C,2,18.06,23.88,20120209
T02,153,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50,C,2,20,38.36,20120209
T02,154,embauba,Cecropia ficifolia,Urticaceae,39.9,C,2,21.87,29.2,20120209
T02,155,matamata preto,Eschweilera ovata,Lecythidaceae,37.4,C,2,14.95,24.84,20120209
T02,156,pau-jacare,Laetia procera,Salicaceae,53.4,C,2,23.17,36.22,20120209
T02,157,tachi preto,Tachigali myrmecophila,Fabaceae,75,C,2,28.21,44.04,20120209
T02,158,casca seca,Licania canescens,Chrysobalanaceae,43.1,C,2,27.69,40.7,20120209
T02,159,guajara branco,Pouteria sp.,Sapotaceae,52.1,C,2,24.8,36.89,20120209
T02,160,macaranduba,Manilkara huberi,Sapotaceae,35.8,C,2,24.63,35,20120209
T02,161,casca seca,Licania canescens,Chrysobalanaceae,48.1,C,2,27.79,37.51,20120209
T02,162,casca seca,Licania canescens,Chrysobalanaceae,45.3,C,2,24.03,33.04,20120209
T02,163,morta,NA,NA,53.3,NA,NA,NA,10.24,20120209
T02,164,morta,NA,NA,46.4,NA,NA,NA,5.13,20120209
T02,165,macaranduba,Manilkara huberi,Sapotaceae,53,S,2,23.31,36.18,20120209
T02,166,morta,NA,NA,46,NA,NA,NA,14.68,20120209
T02,167,morta,NA,NA,57.8,NA,NA,NA,3.27,20120209
T02,168,fava-saboeiro,Abarema cochleata,Fabaceae,52,C,2,15.84,22.71,20120209
T02,169,roxinho,Peltogyne lecointei,Fabaceae,38.4,C,2,27.98,42.97,20120209
T02,170,embauba,Cecropia ficifolia,Urticaceae,43.7,C,2,23.12,31.05,20120209
T02,171,matamata branco,Eschweilera coriacea,Lecythidaceae,53.3,C,2,21.26,35.85,20120209
T02,172,pintadinho,Poeppigia procera,Fabaceae,44.8,C,2,22.73,36.62,20120209
T02,173,matamata branco,Eschweilera coriacea,Lecythidaceae,42,C,2,17.45,32.63,20120209
T02,174,abiurana,Pouteria gongrijpii,Sapotaceae,48.9,C,2,26.05,38.84,20120209
T02,175,ucuuba,Virola michelii,Myristicaceae,40.1,C,2,18.51,16.57,20120209
T02,176,morta,NA,NA,50,NA,NA,NA,8.67,20120209
T02,177,pintadinho,Poeppigia procera,Fabaceae,48,C,2,20.35,32.68,20120209
T02,178,uxirana,Sacoglottis guianensis,Humiriaceae,36.9,C,2,20.84,30.29,20120209
T02,179,copaiba,Copaifera reticulata,Fabaceae,81,C,2,27.12,42.54,20120209
T02,180,matamata preto,Eschweilera ovata,Lecythidaceae,41.4,C,2,13.43,28.06,20120209
T02,181,macucu,Licania guianensis,Chrysobalanaceae,52.9,C,2,21.83,35.41,20120209
T02,182,casca seca,Licania canescens,Chrysobalanaceae,45,C,2,25.19,35.34,20120209
T02,183,morta,NA,NA,35.9,NA,NA,NA,5.18,20120209
T02,184,abiurana casca fina,Pouteria retinervis,Sapotaceae,43,C,2,17.61,27.63,20120209
T02,185,capueiro,Rinorea guianensis,Violaceae,37.8,C,2,14.84,29.54,20120209
T02,186,abiurana,Pouteria gongrijpii,Sapotaceae,52.4,C,2,15.87,29.57,20120209
T02,187,matamata branco,Eschweilera coriacea,Lecythidaceae,36.4,C,2,16.89,34.88,20120209
T02,188,louro canelado,Ocotea canaliculata,Lauraceae,56.3,C,2,28.53,33.96,20120209
T03,2,caramuxi,Pouteria hispida,Sapotaceae,49.3,C,2,7.14,12.25,20120128
T03,3,parajuba,Manilkara bidentata,Sapotaceae,49,C,2,17.94,30.23,20120128
T03,5,jatoba,Hymenaea courbaril,Fabaceae,105.7,E,1,36.4,53.21,20120128
T03,18,jatereu,Lecythis idatimon,Lecythidaceae,37.4,C,2,17.79,29.69,20120128
T03,19,maracatiara,Astronium graveolens,Anacardiaceae,100,E,1,37.32,54.76,20120128
T03,24,morta,NA,NA,37,NA,NA,NA,4.32,20120128
T03,26,matamata,Eschweilera parviflora,Lecythidaceae,60,C,2,27.64,41.3,20120128
T03,31,tachi,Tachigali myrmecophila,Fabaceae,60.9,C,2,25.89,42.8,20120128
T03,35,tachi,Tachigali myrmecophila,Fabaceae,45.5,C,2,18.55,30.52,20120128
T03,42,matamata,Eschweilera parviflora,Lecythidaceae,69.8,S,1,9.72,14.18,20120128
T03,49,morta,NA,NA,35.9,NA,NA,NA,19.01,20120128
T03,56,guajara branco,Pouteria sp.,Sapotaceae,49,C,2,18.54,28.63,20120128
T03,57,pau amarelo,Euxylophora paraensis,Rutaceae,67,C,2,20.44,34.1,20120128
